
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
C2:9F:05:03:CE:8E, 2017-06-21 15:37:11, 2017-06-21 15:37:30,  2,  54, WPA2, CCMP,PSK, -92,        4,        1,   0.  0.  0.  0,   9, OPPO A37m, 
72:14:A6:EC:42:E4, 2017-06-21 15:37:20, 2017-06-21 15:37:29, 11,  54, WPA2, CCMP,PSK, -87,        3,        0,   0.  0.  0.  0,   1, i, 
00:23:89:A3:52:41, 2017-06-21 15:37:13, 2017-06-21 15:37:28,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -85,        7,        3,   0.  0.  0.  0,   6, Inspur, 
DC:85:DE:DF:BD:30, 2017-06-21 15:37:13, 2017-06-21 15:37:28, 11,  54, WPA2, CCMP,PSK, -86,        4,        0,   0.  0.  0.  0,   8, Henry_S3, 
00:23:89:A3:52:40, 2017-06-21 15:37:13, 2017-06-21 15:37:28,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -85,        7,        0,   0.  0.  0.  0,   8, Inspur-L, 
3C:33:00:EB:38:EA, 2017-06-21 15:37:11, 2017-06-21 15:37:29,  6,  54, WPA2, CCMP,PSK, -78,       32,        4,   0.  0.  0.  0,   6, hhhddd, 
5A:FB:84:C6:32:48, 2017-06-21 15:37:24, 2017-06-21 15:37:28, 11,  54, WPA2, CCMP,PSK, -79,        4,        0,   0.  0.  0.  0,   5, Wi-Fi, 
24:05:0F:41:1F:00, 2017-06-21 15:37:14, 2017-06-21 15:37:29, 11,  54, WPA2, CCMP,PSK, -77,        5,        0,   0.  0.  0.  0,  16, 360\xE5..\xE8\xB4\xB9WiFi-00, 
54:27:1E:B5:66:F3, 2017-06-21 15:37:12, 2017-06-21 15:37:29, 11,  54, WPA2, CCMP,PSK, -84,       13,        0,   0.  0.  0.  0,   4, wind, 
70:F9:6D:34:3C:F1, 2017-06-21 15:37:10, 2017-06-21 15:37:29,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -70,       14,       17,   0.  0.  0.  0,   6, Inspur, 
B0:D5:9D:A3:A6:AC, 2017-06-21 15:37:10, 2017-06-21 15:37:29,  6,  54, WPA2, CCMP,PSK, -69,       44,        1,   0.  0.  0.  0,   3, JQK, 
74:25:8A:8B:34:31, 2017-06-21 15:37:13, 2017-06-21 15:37:28,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -69,        8,       39,   0.  0.  0.  0,   6, Inspur, 
0E:84:DC:EE:6E:B9, 2017-06-21 15:37:11, 2017-06-21 15:37:28, 11,  54, WPA2, CCMP,PSK, -70,        6,        0,   0.  0.  0.  0,  28, DIRECT-THDESKTOP-L38ANT5msPI, 
14:CF:92:BC:A9:4D, 2017-06-21 15:37:12, 2017-06-21 15:37:29, 10,  54, WPA2 WPA, CCMP,PSK, -71,       20,        0,   0.  0.  0.  0,   9, InspurHot, 
58:66:BA:78:6F:01, 2017-06-21 15:37:10, 2017-06-21 15:37:28, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -68,        4,      405,   0.  0.  0.  0,   6, Inspur, 
0C:DA:41:0E:F7:91, 2017-06-21 15:37:10, 2017-06-21 15:37:28, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -67,        6,      401,   0.  0.  0.  0,   6, Inspur, 
EC:0E:C4:03:9A:2D, 2017-06-21 15:37:10, 2017-06-21 15:37:29,  6,  54, WPA2, CCMP,PSK, -59,       44,        0,   0.  0.  0.  0,  28, HP-Print-2d-LaserJet Pro MFP, 
58:66:BA:78:EA:41, 2017-06-21 15:37:13, 2017-06-21 15:37:28, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -63,        4,        7,   0.  0.  0.  0,   6, Inspur, 
74:25:8A:8B:2D:91, 2017-06-21 15:37:13, 2017-06-21 15:37:28,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -53,       12,       77,   0.  0.  0.  0,   6, Inspur, 
70:F9:6D:35:47:91, 2017-06-21 15:37:10, 2017-06-21 15:37:29,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -55,       14,       89,   0.  0.  0.  0,   6, Inspur, 
74:25:8A:8B:34:11, 2017-06-21 15:37:13, 2017-06-21 15:37:28, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -53,        7,       31,   0.  0.  0.  0,   6, Inspur, 
6C:B0:CE:17:AD:71, 2017-06-21 15:37:10, 2017-06-21 15:37:30,  3,  54, WEP, WEP,   , -54,       73,        0,   0.  0.  0.  0,  10, phome-wndr, 
EC:88:8F:43:97:58, 2017-06-21 15:37:10, 2017-06-21 15:37:30,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -41,       57,        0,   0.  0.  0.  0,   8, Inspur-M, 
00:23:89:A3:44:01, 2017-06-21 15:37:12, 2017-06-21 15:37:19,  3,  -1, WPA, ,   ,  -1,        0,       17,   0.  0.  0.  0,   0, , 
58:66:BA:9F:9B:21, 2017-06-21 15:37:13, 2017-06-21 15:37:24, 11,  -1, WPA, ,   ,  -1,        0,       20,   0.  0.  0.  0,   0, , 
74:25:8A:85:30:B1, 2017-06-21 15:37:13, 2017-06-21 15:37:28, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -84,        1,        2,   0.  0.  0.  0,   6, Inspur, 
70:F9:6D:30:61:71, 2017-06-21 15:37:13, 2017-06-21 15:37:28,  6,  -1, WPA, ,   ,  -1,        0,       28,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
DA:A1:19:7A:87:EF, 2017-06-21 15:37:10, 2017-06-21 15:37:10, -67,        2, (not associated) ,
24:0A:64:2D:37:8D, 2017-06-21 15:37:24, 2017-06-21 15:37:24, -66,        1, 74:25:8A:85:30:B1,
54:27:1E:B5:5B:E3, 2017-06-21 15:37:26, 2017-06-21 15:37:26, -65,        3, (not associated) ,
DC:85:DE:DF:E7:F9, 2017-06-21 15:37:10, 2017-06-21 15:37:21, -62,        6, 70:F9:6D:35:47:91,
0C:84:DC:EE:66:B9, 2017-06-21 15:37:13, 2017-06-21 15:37:13, -62,        1, 74:25:8A:8B:34:11,
54:27:1E:B5:65:CC, 2017-06-21 15:37:17, 2017-06-21 15:37:28, -61,        6, 74:25:8A:8B:34:11,
54:27:1E:B5:5C:14, 2017-06-21 15:37:14, 2017-06-21 15:37:25, -62,        4, 70:F9:6D:35:47:91,
54:27:1E:B5:67:3D, 2017-06-21 15:37:24, 2017-06-21 15:37:24, -62,        1, 74:25:8A:8B:34:11,
DC:85:DE:DF:BD:52, 2017-06-21 15:37:14, 2017-06-21 15:37:20, -59,       11, 70:F9:6D:35:47:91,
24:0A:64:2D:38:4F, 2017-06-21 15:37:21, 2017-06-21 15:37:21, -53,       17, 70:F9:6D:35:47:91,
54:27:1E:08:F2:5F, 2017-06-21 15:37:17, 2017-06-21 15:37:28, -54,       24, 74:25:8A:8B:2D:91,
54:27:1E:A8:10:E7, 2017-06-21 15:37:25, 2017-06-21 15:37:25, -50,        2, 70:F9:6D:35:47:91,
54:27:1E:B5:5B:85, 2017-06-21 15:37:13, 2017-06-21 15:37:13, -49,        1, 74:25:8A:8B:34:11,
54:27:1E:B5:67:6F, 2017-06-21 15:37:13, 2017-06-21 15:37:17, -49,        4, 58:66:BA:78:EA:41,
54:27:1E:A8:13:15, 2017-06-21 15:37:18, 2017-06-21 15:37:19, -47,       15, (not associated) ,
28:E3:47:38:A1:EF, 2017-06-21 15:37:13, 2017-06-21 15:37:13, -46,        7, 74:25:8A:8B:34:11,
9C:AD:97:D1:4F:31, 2017-06-21 15:37:13, 2017-06-21 15:37:24, -45,        2, 14:CF:92:BC:A9:4D,
28:E3:47:38:A1:F0, 2017-06-21 15:37:17, 2017-06-21 15:37:24, -44,        2, 74:25:8A:8B:34:11,
28:E3:47:38:A8:3B, 2017-06-21 15:37:13, 2017-06-21 15:37:25, -43,        2, 74:25:8A:8B:2D:91,
80:A5:89:30:5A:1B, 2017-06-21 15:37:10, 2017-06-21 15:37:24,  -1,       34, 58:66:BA:78:6F:01,
40:E2:30:D5:92:58, 2017-06-21 15:37:10, 2017-06-21 15:37:28,  -1,      200, 0C:DA:41:0E:F7:91,
A4:02:B9:CD:82:82, 2017-06-21 15:37:10, 2017-06-21 15:37:10,  -1,       10, 70:F9:6D:35:47:91,
40:E2:30:D5:95:66, 2017-06-21 15:37:10, 2017-06-21 15:37:10,  -1,       12, 70:F9:6D:35:47:91,
28:16:AD:25:8A:3C, 2017-06-21 15:37:13, 2017-06-21 15:37:13,  -1,        2, 58:66:BA:78:6F:01,
80:A5:89:30:4A:C3, 2017-06-21 15:37:13, 2017-06-21 15:37:13,  -1,        9, 0C:DA:41:0E:F7:91,
54:27:1E:B5:5B:DF, 2017-06-21 15:37:13, 2017-06-21 15:37:13,  -1,        4, 58:66:BA:78:EA:41,
DC:85:DE:DF:BA:9F, 2017-06-21 15:37:13, 2017-06-21 15:37:13,  -1,        1, 58:66:BA:78:6F:01,
54:27:1E:B5:5B:21, 2017-06-21 15:37:13, 2017-06-21 15:37:24,  -1,       17, 58:66:BA:78:6F:01,
DC:85:DE:DF:E9:5B, 2017-06-21 15:37:13, 2017-06-21 15:37:28,  -1,       79, 0C:DA:41:0E:F7:91,
DC:85:DE:DF:BE:1E, 2017-06-21 15:37:13, 2017-06-21 15:37:25,  -1,       20, 74:25:8A:8B:34:31,
3E:33:00:E9:38:EA, 2017-06-21 15:37:13, 2017-06-21 15:37:28,  -1,       69, 74:25:8A:8B:2D:91,
80:A5:89:30:58:E7, 2017-06-21 15:37:13, 2017-06-21 15:37:13,  -1,        7, 74:25:8A:8B:34:31,
80:A5:89:30:59:5D, 2017-06-21 15:37:14, 2017-06-21 15:37:29,  -1,        5, 70:F9:6D:35:47:91,
54:27:1E:A8:11:F1, 2017-06-21 15:37:18, 2017-06-21 15:37:21,  -1,        3, 70:F9:6D:35:47:91,
D0:53:49:F3:F4:62, 2017-06-21 15:37:18, 2017-06-21 15:37:18,  -1,        1, 70:F9:6D:35:47:91,
DC:85:DE:DF:BD:55, 2017-06-21 15:37:21, 2017-06-21 15:37:28,  -1,       93, 0C:DA:41:0E:F7:91,
54:27:1E:B5:5C:24, 2017-06-21 15:37:21, 2017-06-21 15:37:21,  -1,        5, 70:F9:6D:34:3C:F1,
DC:85:DE:DF:BA:8A, 2017-06-21 15:37:21, 2017-06-21 15:37:29,  -1,        3, 70:F9:6D:34:3C:F1,
38:A4:ED:1A:D8:66, 2017-06-21 15:37:21, 2017-06-21 15:37:29,  -1,        3, 70:F9:6D:34:3C:F1,
54:27:1E:A8:12:F7, 2017-06-21 15:37:24, 2017-06-21 15:37:24,  -1,        1, 74:25:8A:8B:34:31,
80:A5:89:30:54:81, 2017-06-21 15:37:28, 2017-06-21 15:37:28,  -1,       11, 0C:DA:41:0E:F7:91,
10:2A:B3:FD:97:97, 2017-06-21 15:37:28, 2017-06-21 15:37:28, -87,        2, 58:66:BA:78:EA:41,
28:B2:BD:B7:85:A9, 2017-06-21 15:37:28, 2017-06-21 15:37:28,  -1,        9, 74:25:8A:8B:34:31,
58:FB:84:C6:29:65, 2017-06-21 15:37:28, 2017-06-21 15:37:28,  -1,        9, 74:25:8A:8B:34:31,
F4:8E:92:85:C6:1B, 2017-06-21 15:37:29, 2017-06-21 15:37:29, -97,        2, (not associated) ,
DC:85:DE:DF:BE:0B, 2017-06-21 15:37:29, 2017-06-21 15:37:29,  -1,        1, 70:F9:6D:34:3C:F1,
6C:71:D9:1D:09:AA, 2017-06-21 15:37:29, 2017-06-21 15:37:29,  -1,        1, 3C:33:00:EB:38:EA,

